Title,# Views,# Rates,Average Score,Douban Link
好时光 ,14,14,7.714285714285714,https://movie.douban.com/subject/26528871/
猎杀本·拉登 ,15,14,7.142857142857143,https://movie.douban.com/subject/6430835/
甘泉玛侬 ,9,7,8.285714285714286,https://movie.douban.com/subject/1301685/
恋恋山城 ,4,4,9.0,https://movie.douban.com/subject/1296786/
家族之苦2 ,9,8,7.25,https://movie.douban.com/subject/26848504/
请以你的名字呼唤我 ,20,19,7.7894736842105265,https://movie.douban.com/subject/26799731/
爱在日落黄昏时 ,23,22,8.545454545454545,https://movie.douban.com/subject/1291990/
起身 ,1,1,8.0,https://movie.douban.com/subject/26929017/
美国精神病人 ,12,11,7.818181818181818,https://movie.douban.com/subject/1301715/
西北偏北 ,23,19,8.526315789473685,https://movie.douban.com/subject/1295872/
一封陌生女子的来信 ,17,13,8.307692307692308,https://movie.douban.com/subject/1297228/
大世界,17,13,6.769230769230769,https://movie.douban.com/subject/26954003/
佛罗里达乐园 ,14,12,7.666666666666667,https://movie.douban.com/subject/26778790/
游戏规则 ,18,15,9.066666666666666,https://movie.douban.com/subject/1401261/
血红街道 ,11,9,8.444444444444445,https://movie.douban.com/subject/1303953/
夺魂索 ,17,16,8.0,https://movie.douban.com/subject/1301230/
银翼杀手2049 ,24,21,8.476190476190476,https://movie.douban.com/subject/10512661/
深锁春光一院愁 ,9,6,7.666666666666667,https://movie.douban.com/subject/1303345/
底特律 ,10,9,7.333333333333333,https://movie.douban.com/subject/26718836/
鬼魅浮生 ,18,15,7.333333333333333,https://movie.douban.com/subject/26920017/
无仁义之战 ,10,9,7.777777777777778,https://movie.douban.com/subject/1394518/
浮云 ,15,13,9.076923076923077,https://movie.douban.com/subject/1298870/
人生如戏 ,9,7,7.142857142857143,https://movie.douban.com/subject/23431760/
一个人的字幕,6,4,7.0,https://movie.douban.com/subject/26984183/
倒扣的王牌 ,18,15,8.666666666666666,https://movie.douban.com/subject/1293841/
冰血暴 ,26,23,8.0,https://movie.douban.com/subject/1292067/
爱比死更冷 ,12,10,7.8,https://movie.douban.com/subject/1307684/
绿光 ,16,14,8.285714285714286,https://movie.douban.com/subject/1294039/
未来学大会 ,9,8,7.75,https://movie.douban.com/subject/6432898/
穷山恶水 ,21,18,8.11111111111111,https://movie.douban.com/subject/1297422/
在这世界的角落 ,11,10,8.0,https://movie.douban.com/subject/11611021/
毕业生 ,23,19,8.421052631578947,https://movie.douban.com/subject/1292271/
热天午后 ,22,20,8.8,https://movie.douban.com/subject/1293374/
三生计 ,9,7,9.428571428571429,https://movie.douban.com/subject/1470246/
上帝之城 ,22,21,8.857142857142858,https://movie.douban.com/subject/1292208/
醉拳,14,12,7.166666666666667,https://movie.douban.com/subject/1296693/
希望的另一面 ,14,12,8.333333333333334,https://movie.douban.com/subject/26678509/
绝世高手之大侠卢小鱼,1,1,8.0,https://movie.douban.com/subject/25813439/
逍遥骑士 ,22,17,8.0,https://movie.douban.com/subject/1297646/
雪之断章 ,5,4,7.5,https://movie.douban.com/subject/2222981/
新哥斯拉 ,17,15,6.533333333333333,https://movie.douban.com/subject/26279124/
生吃 ,18,16,7.75,https://movie.douban.com/subject/26653833/
逃出绝命镇 ,20,18,7.444444444444445,https://movie.douban.com/subject/26688480/
狗镇 ,22,20,8.4,https://movie.douban.com/subject/1298759/
基吉星团与火星蜘蛛 ,2,2,9.0,https://movie.douban.com/subject/1294074/
英雄本色,23,20,8.1,https://movie.douban.com/subject/1297574/
没有电影的电影节,4,2,8.0,https://movie.douban.com/subject/26733349/
甜蜜蜜,24,21,8.19047619047619,https://movie.douban.com/subject/1305164/
这时对那时错 ,16,14,8.428571428571429,https://movie.douban.com/subject/26297388/
倩女幽魂,23,20,8.1,https://movie.douban.com/subject/1297447/
薄荷糖 ,19,16,8.75,https://movie.douban.com/subject/1303145/
博物馆时光 ,2,2,7.0,https://movie.douban.com/subject/11500302/
喜宴 ,22,21,8.19047619047619,https://movie.douban.com/subject/1303037/
地狱为何恶劣 ,11,11,8.181818181818182,https://movie.douban.com/subject/19955790/
好家伙 ,23,20,8.3,https://movie.douban.com/subject/1292268/
第一夫人 ,11,11,7.454545454545454,https://movie.douban.com/subject/4849728/
月光男孩 ,20,17,7.294117647058823,https://movie.douban.com/subject/26648249/
A Love Story,1,1,8.0,https://movie.douban.com/subject/26952411/
凶暴的男人 ,12,10,7.4,https://movie.douban.com/subject/1293995/
旺角卡门 ,17,15,7.733333333333333,https://movie.douban.com/subject/1304624/
她 ,22,18,8.11111111111111,https://movie.douban.com/subject/26022182/
爱乐之城 ,23,21,7.904761904761905,https://movie.douban.com/subject/25934014/
比海更深 ,13,12,8.333333333333334,https://movie.douban.com/subject/26694988/
沉默 ,13,11,6.909090909090909,https://movie.douban.com/subject/1884684/
里奥纳德·科恩：我是你的男人 ,5,4,8.5,https://movie.douban.com/subject/1752181/
将来的事 ,15,13,8.153846153846153,https://movie.douban.com/subject/26215216/
错乱的一代 ,12,10,8.0,https://movie.douban.com/subject/26418093/
梦 ,18,14,8.142857142857142,https://movie.douban.com/subject/1299112/
猜火车 ,27,21,8.19047619047619,https://movie.douban.com/subject/1292528/
蓝丝绒 ,26,23,8.347826086956522,https://movie.douban.com/subject/1298697/
帕特森 ,17,16,8.125,https://movie.douban.com/subject/26677495/
福地 ,4,3,8.0,https://movie.douban.com/subject/1466329/
不了神话 宫崎骏 ,2,2,8.0,https://movie.douban.com/subject/26914034/
南方 ,9,7,8.571428571428571,https://movie.douban.com/subject/1477717/
车坊,1,1,8.0,https://movie.douban.com/subject/26914736/
夜行动物 ,18,17,6.9411764705882355,https://movie.douban.com/subject/26353372/
降临 ,23,21,7.428571428571429,https://movie.douban.com/subject/21324900/
超音速 ,1,1,8.0,https://movie.douban.com/subject/26707093/
托尼·厄德曼 ,15,14,7.714285714285714,https://movie.douban.com/subject/24872189/
毕业会考 ,18,17,8.0,https://movie.douban.com/subject/26340305/
海边的曼彻斯特 ,23,21,7.809523809523809,https://movie.douban.com/subject/25980443/
火车怪客 ,16,13,8.153846153846153,https://movie.douban.com/subject/1298505/
我的舅舅 ,15,13,9.076923076923077,https://movie.douban.com/subject/1400829/
